"shapeid","x","y"
"0","5.14881944444","44.1716840278"
"0","5.14873263889","44.1717361111"
"0","5.14881944444","44.1717635234"
"0","5.15090277778","44.1721021021"
"0","5.15298611111","44.172114899"
"0","5.15339460784","44.1717361111"
"0","5.15298611111","44.1712152778"
"0","5.15090277778","44.1712770716"
"0","5.14881944444","44.1716840278"
"1","5.27381944444","44.1714297386"
"1","5.27221688034","44.1717361111"
"1","5.27173611111","44.1721037582"
"1","5.26965277778","44.1733730159"
"1","5.26756944444","44.173553487"
"1","5.26548611111","44.1737078373"
"1","5.26392361111","44.1738194444"
"1","5.26548611111","44.1739155983"
"1","5.26756944444","44.1740313089"
"1","5.26965277778","44.1740509259"
"1","5.27173611111","44.1742547678"
"1","5.27381944444","44.1741554659"
"1","5.27590277778","44.1748757825"
"1","5.27713865348","44.1759027778"
"1","5.27798611111","44.1763744759"
"1","5.28006944444","44.1765855509"
"1","5.28191603535","44.1759027778"
"1","5.28215277778","44.175628655"
"1","5.28423611111","44.1740277778"
"1","5.28472369976","44.1738194444"
"1","5.28631944444","44.172526341"
"1","5.28840277778","44.172405754"
"1","5.29048611111","44.1718497475"
"1","5.29063855014","44.1717361111"
"1","5.29048611111","44.1714583333"
"1","5.28840277778","44.170457702"
"1","5.28631944444","44.1707397343"
"1","5.28462191358","44.1717361111"
"1","5.28423611111","44.1723871528"
"1","5.28215277778","44.1729265873"
"1","5.28028202948","44.1717361111"
"1","5.28006944444","44.1716059028"
"1","5.27798611111","44.1710416667"
"1","5.27590277778","44.1711624396"
"1","5.27381944444","44.1714297386"
"2","5.38817667959","44.1696527778"
"2","5.38840277778","44.1700219761"
"2","5.39048611111","44.1715357906"
"2","5.39256944444","44.1710089099"
"2","5.39465277778","44.1698002704"
"2","5.39491732804","44.1696527778"
"2","5.39465277778","44.1692023273"
"2","5.3930628655","44.1675694444"
"2","5.39256944444","44.1674105461"
"2","5.39048611111","44.1673139413"
"2","5.39000248016","44.1675694444"
"2","5.38840277778","44.1691410819"
"2","5.38817667959","44.1696527778"
"3","5.28631944444","44.1672584992"
"3","5.28551816239","44.1675694444"
"3","5.28423611111","44.168098545"
"3","5.28223781179","44.1696527778"
"3","5.28215277778","44.1697246169"
"3","5.28199845679","44.1696527778"
"3","5.28006944444","44.1689393075"
"3","5.27798611111","44.1683707265"
"3","5.27590277778","44.1682821637"
"3","5.27381944444","44.1684203834"
"3","5.27173611111","44.1686824581"
"3","5.26965277778","44.1689222583"
"3","5.26756944444","44.1693055556"
"3","5.26652777778","44.1696527778"
"3","5.26548611111","44.1700765066"
"3","5.26340277778","44.1703920251"
"3","5.26131944444","44.1704027778"
"3","5.25923611111","44.1710149573"
"3","5.25715277778","44.1712152778"
"3","5.25506944444","44.1715108859"
"3","5.25368055556","44.1717361111"
"3","5.25298611111","44.1719061791"
"3","5.25090277778","44.1726830808"
"3","5.24881944444","44.1735218254"
"3","5.24854166667","44.1738194444"
"3","5.24881944444","44.1739090502"
"3","5.25090277778","44.1744076797"
"3","5.25298611111","44.1749489625"
"3","5.25506944444","44.1754182817"
"3","5.25715277778","44.1757503388"
"3","5.25840277778","44.1759027778"
"3","5.25923611111","44.1759740028"
"3","5.26131944444","44.176156401"
"3","5.26340277778","44.1764327485"
"3","5.26548611111","44.1765911836"
"3","5.26756944444","44.176769297"
"3","5.26965277778","44.1768876263"
"3","5.27173611111","44.1767929293"
"3","5.27381944444","44.1765138889"
"3","5.27590277778","44.1777578006"
"3","5.27654380342","44.1779861111"
